Algorithm, 1, 552012, 4440,5216
array, 21501411,20111300,25549377,33077915
heap, 24402119,17772202,26179345,31919036
linked, 25367907,21379032,26647816,35282948

seed, 1, 552012, 4440,5216
standard, 22267178,18310734,24255439,30542156
nocache, 58360256,58697183,60334739,67617537
noPriority,24299834, 22540522,27567516,35083735
noqueue, 58983552, 52183147,63740600, 82029478
queueCheck,19688686, 17879629,22368910,29578033




